name,categoryName,description,packSize,price,mrp,stock,imagePath,image
Apple,Fruits,Apple is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,113,227,233,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/apple.png,mkGold/products/apple.png
Banana,Fruits,Banana is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,69,200,220,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/banana.png,mkGold/products/banana.png
Mango,Fruits,Mango is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,120,259,247,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/mango.png,mkGold/products/mango.png
Orange,Fruits,Orange is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,53,249,350,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/orange.png,mkGold/products/orange.png
Grapes,Fruits,Grapes is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,171,249,110,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/grapes.png,mkGold/products/grapes.png
Pomegranate,Fruits,Pomegranate is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,44,241,375,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/pomegranate.png,mkGold/products/default.png
Papaya,Fruits,Papaya is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,93,220,260,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/papaya.png,mkGold/products/default.png
Pineapple,Fruits,Pineapple is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,103,209,100,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/pineapple.png,mkGold/products/apple.png
Watermelon,Fruits,Watermelon is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,152,222,100,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/watermelon.png,mkGold/products/watermelon.png
Muskmelon,Fruits,Muskmelon is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,86,257,72,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/muskmelon.png,mkGold/products/default.png
Kiwi,Fruits,Kiwi is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,118,216,262,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/kiwi.png,mkGold/products/default.png
Strawberry,Fruits,Strawberry is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,148,218,320,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/strawberry.png,mkGold/products/default.png
Pear,Fruits,Pear is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,75,200,320,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/pear.png,mkGold/products/default.png
