name,category,description,packSize,price,mrp,stock,imagePath,image,merchantId,discount,isOrganic
Apple,Fruits,Apple is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,113,227,233,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/apple.png,mkGold/products/apple.png,69981a58e837abd15401f60f,0,TRUE
Banana,Fruits,Banana is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,69,200,220,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/banana.png,mkGold/products/banana.png,69981a58e837abd15401f60f,0,TRUE
Mango,Fruits,Mango is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,120,259,247,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/mango.png,mkGold/products/mango.png,69981a58e837abd15401f60f,0,TRUE
Orange,Fruits,Orange is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,53,249,350,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/orange.png,mkGold/products/orange.png,69981a58e837abd15401f60f,0,TRUE
Grapes,Fruits,Grapes is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,171,249,110,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/grapes.png,mkGold/products/grapes.png,69981a58e837abd15401f60f,0,TRUE
Pomegranate,Fruits,Pomegranate is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,44,241,375,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/pomegranate.png,mkGold/products/pomegranate.png,69981a58e837abd15401f60f,0,TRUE
Papaya,Fruits,Papaya is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,93,220,260,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/papaya.png,mkGold/products/papaya.png,69981a58e837abd15401f60f,0,TRUE
Pineapple,Fruits,Pineapple is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,103,209,100,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/pineapple.png,mkGold/products/pineapple.png,69981a58e837abd15401f60f,0,TRUE
Watermelon,Fruits,Watermelon is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,152,222,100,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/watermelon.png,mkGold/products/watermelon.png,69981a58e837abd15401f60f,0,TRUE
Muskmelon,Fruits,Muskmelon is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,86,257,72,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/muskmelon.png,mkGold/products/muskmelon.png,69981a58e837abd15401f60f,0,TRUE
Kiwi,Fruits,Kiwi is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,118,216,262,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/kiwi.png,mkGold/products/kiwi.png,69981a58e837abd15401f60f,0,TRUE
Strawberry,Fruits,Strawberry is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,148,218,320,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/strawberry.png,mkGold/products/strawberry.png,69981a58e837abd15401f60f,0,TRUE
Pear,Fruits,Pear is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,75,200,320,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/pear.png,mkGold/products/pear.png,69981a58e837abd15401f60f,0,TRUE
Chikoo,Fruits,Chikoo is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,56,225,201,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/chikoo.png,mkGold/products/chikoo.png,69981a58e837abd15401f60f,0,TRUE
Guava,Fruits,Guava is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,73,229,395,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/guava.png,mkGold/products/guava.png,69981a58e837abd15401f60f,0,TRUE
Plum,Fruits,Plum is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,167,248,366,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/plum.png,mkGold/products/plum.png,69981a58e837abd15401f60f,0,TRUE
Peach,Fruits,Peach is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,161,231,259,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/peach.png,mkGold/products/peach.png,69981a58e837abd15401f60f,0,TRUE
Custard Apple,Fruits,Custard Apple is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,119,232,301,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/custard_apple.png,mkGold/products/apple.png,69981a58e837abd15401f60f,0,TRUE
Dragon Fruit,Fruits,Dragon Fruit is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,55,243,365,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/dragon_fruit.png,mkGold/products/dragon_fruit.png,69981a58e837abd15401f60f,0,TRUE
Tomato,Vegetables,Tomato is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,33,150,354,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/tomato.png,mkGold/products/tomato.png,,0,TRUE
Potato,Vegetables,Potato is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,29,132,356,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/potato.png,mkGold/products/potato.png,,0,TRUE
Onion,Vegetables,Onion is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,44,160,196,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/onion.png,mkGold/products/onion.png,,0,TRUE
Carrot,Vegetables,Carrot is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,83,174,313,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/carrot.png,mkGold/products/carrot.png,,0,TRUE
Beetroot,Vegetables,Beetroot is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,113,142,394,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/beetroot.png,mkGold/products/beetroot.png,,0,TRUE
Cabbage,Vegetables,Cabbage is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,89,176,65,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/cabbage.png,mkGold/products/cabbage.png,,0,TRUE
Cauliflower,Vegetables,Cauliflower is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,26,180,395,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/cauliflower.png,mkGold/products/cauliflower.png,,0,FALSE
Capsicum,Vegetables,Capsicum is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,94,132,328,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/capsicum.png,mkGold/products/capsicum.png,,0,FALSE
Cucumber,Vegetables,Cucumber is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,98,135,342,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/cucumber.png,mkGold/products/cucumber.png,,0,FALSE
Brinjal,Vegetables,Brinjal is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,76,130,335,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/brinjal.png,mkGold/products/brinjal.png,,0,FALSE
Lady Finger,Vegetables,Lady Finger is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,39,159,331,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/lady_finger.png,mkGold/products/lady_finger.png,,0,FALSE
Bottle Gourd,Vegetables,Bottle Gourd is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,48,165,244,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/bottle_gourd.png,mkGold/products/bottle_gourd.png,,0,FALSE
Bitter Gourd,Vegetables,Bitter Gourd is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,76,147,204,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/bitter_gourd.png,mkGold/products/bitter_gourd.png,,0,FALSE
